"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"prot-a-936","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","ER membrane protein complex subunit 4 || id:prot-a-936","Inverse variance weighted",3,0.0089016980774255,0.0264578769828599,0.736533107119873
"prot-a-882","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dual specificity tyrosine-phosphorylation-regulated kinase 3 || id:prot-a-882","Wald ratio",1,-0.0332404712404712,0.113582120582121,0.769785224993607
"prot-a-932","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","RNA polymerase II elongation factor ELL || id:prot-a-932","Inverse variance weighted",3,0.0988011292086008,0.0578841507326089,0.0878449048706839
"prot-a-854","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dedicator of cytokinesis protein 9 || id:prot-a-854","Wald ratio",1,0.034796632996633,0.060016835016835,0.562062172940027
"prot-a-939","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","EMILIN-3 || id:prot-a-939","Inverse variance weighted",2,-0.133211150670824,0.130528978070358,0.307468407407616
"prot-a-958","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin type-A receptor 5 || id:prot-a-958","Wald ratio",1,0.160150735294118,0.0866164215686274,0.0644628611121279
"prot-a-922","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Eukaryotic translation initiation factor 4B || id:prot-a-922","Wald ratio",1,0.104102230483271,0.0563029739776952,0.0644628611121279
"prot-a-905","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin-B2 || id:prot-a-905","Wald ratio",1,0.00797626293365794,0.117465003043214,0.945862601006345
"prot-a-985","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endoplasmic reticulum resident protein 44 || id:prot-a-985","Wald ratio",1,-0.0451308943089431,0.0746650406504065,0.545547969419015
"prot-a-925","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Eukaryotic translation initiation factor 4 gamma 3 || id:prot-a-925","Wald ratio",1,0.0366044499381953,0.100415327564895,0.715461899750975
"prot-a-943","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endoglin || id:prot-a-943","Wald ratio",1,-0.0503261603375527,0.082973417721519,0.544160520858463
"prot-a-887","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Tumor necrosis factor receptor superfamily member 27 || id:prot-a-887","Wald ratio",1,-0.147481912681913,0.117035758835759,0.207617409583384
"prot-a-96","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Angiopoietin-related protein 1 || id:prot-a-96","Wald ratio",1,-0.066795818815331,0.0396548199767712,0.09209835160456
"prot-a-986","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endogenous retrovirus group V member 1 Env polyprotein || id:prot-a-986","Wald ratio",1,-0.105367833587012,0.0843059360730594,0.211362757586804
"prot-a-930","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","ETS domain-containing protein Elk-1 || id:prot-a-930","Wald ratio",1,0.0827151442307692,0.0501300480769231,0.098940631289449
"prot-a-996","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein eva-1 homolog C || id:prot-a-996","Wald ratio",1,-0.0277399553571429,0.0959196428571429,0.772428374587231
"prot-a-961","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin type-B receptor 2 || id:prot-a-961","Wald ratio",1,-0.00594135903299575,0.0427311336164652,0.889418129775345
"prot-a-980","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Erlin-1 || id:prot-a-980","Wald ratio",1,0.0304817292846114,0.0836191456510551,0.715461899750975
"prot-a-907","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin-B3 || id:prot-a-907","Wald ratio",1,0.0191607893885474,0.0525629246198641,0.715461899750975
"prot-a-942","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Poly(U)-specific endoribonuclease || id:prot-a-942","Wald ratio",1,-0.0163411501954216,0.102409826912339,0.873222781083483
"prot-a-994","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein C-ets-2 || id:prot-a-994","Inverse variance weighted",2,0.0867322135806572,0.0610744380188506,0.155576644083085
"prot-a-944","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Gamma-enolase || id:prot-a-944","Wald ratio",1,0.0578979044834308,0.0944736842105263,0.539977576642085
"prot-a-842","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","DnaJ homolog subfamily B member 9 || id:prot-a-842","Inverse variance weighted",4,0.0965240887192494,0.0717503678621975,0.178535937260191
"prot-a-891","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelial differentiation-related factor 1 || id:prot-a-891","Wald ratio",1,0.0501450014573011,0.0303907024191198,0.098940631289449
"prot-a-885","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectodysplasin-A, secreted form || id:prot-a-885","Wald ratio",1,-0.136890614449696,0.11205131667792,0.221829466307286
"prot-a-99","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Angiopoietin-related protein 4 || id:prot-a-99","Inverse variance weighted",2,0.0172864614778168,0.0803117213545498,0.82957858921739
"prot-a-879","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dynactin-associated protein || id:prot-a-879","Wald ratio",1,-0.0137113402061856,0.0986312916919345,0.889437405012059
"prot-a-903","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin-B1 || id:prot-a-903","Wald ratio",1,0.0105852059925094,0.0761437265917603,0.889437405012059
"prot-a-990","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelial cell-specific molecule 1 || id:prot-a-990","Inverse variance weighted",2,0.0229607614591753,0.154260140672489,0.881676397435713
"prot-a-89","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Alpha-amylase 1 || id:prot-a-89","Inverse variance weighted",3,-0.00262558935890795,0.0504571602507997,0.958499999435272
"prot-a-87","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Amphoterin-induced protein 1 || id:prot-a-87","Wald ratio",1,0.0494427157001414,0.114983734087694,0.667197475564598
"prot-a-855","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Docking protein 2 || id:prot-a-855","Wald ratio",1,0.117661764705882,0.0636365546218487,0.0644628611121279
"prot-a-916","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Probable RNA-binding protein EIF1AD || id:prot-a-916","Wald ratio",1,0.0573424467099166,0.0324860982391103,0.0775405743308628
"prot-a-940","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","EMILIN-3 || id:prot-a-940","Wald ratio",1,-0.036091407678245,0.0990079219987812,0.715461899750975
"prot-a-900","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin-A4 || id:prot-a-900","Wald ratio",1,0.177968801996672,0.11827537437604,0.132401557621873
"prot-a-844","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","DnaJ homolog subfamily C member 15 || id:prot-a-844","Inverse variance weighted",2,-0.0956597222636591,0.0844402775376298,0.257269521190757
"prot-a-998","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ena/VASP-like protein || id:prot-a-998","Wald ratio",1,0.109190387596899,0.0646902325581395,0.0914311862533159
"prot-a-953","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleoside triphosphate diphosphohydrolase 5 || id:prot-a-953","Inverse variance weighted",3,-0.00573572014938558,0.0945550036386535,0.951629873570429
"prot-a-987","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelial cell-selective adhesion molecule || id:prot-a-987","Inverse variance weighted",3,-0.0476106990907764,0.0545978346349827,0.38319451601011
"prot-a-988","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelial cell-selective adhesion molecule || id:prot-a-988","Inverse variance weighted",2,-0.017141601700052,0.0646695084505558,0.790959645963447
"prot-a-948","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 || id:prot-a-948","Wald ratio",1,0.000893888719975676,0.0170979020979021,0.958305104628096
"prot-a-888","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","Inverse variance weighted",4,-0.0426768660333003,0.0449412752936345,0.342308401396346
"prot-a-952","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleoside triphosphate diphosphohydrolase 3 || id:prot-a-952","Inverse variance weighted",2,0.0129456000951658,0.0913706465424804,0.887330984621052
"prot-a-995","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein eva-1 homolog C || id:prot-a-995","Inverse variance weighted",2,0.00939309474737066,0.0342456614753539,0.783865083841203
"prot-a-865","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dorsal root ganglia homeobox protein || id:prot-a-865","Inverse variance weighted",2,0.0030380308093132,0.0338552892175512,0.928497181730664
"prot-a-923","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Eukaryotic translation initiation factor 4E type 2 || id:prot-a-923","Wald ratio",1,0.0795106018419362,0.0450449775112444,0.0775405743308628
"prot-a-861","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dermatopontin || id:prot-a-861","Inverse variance weighted",2,-0.08932823383926,0.0362303421099781,0.013679766458707
"prot-a-915","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","EP300-interacting inhibitor of differentiation 3 || id:prot-a-915","Inverse variance weighted",2,0.0213898926171151,0.0744877552923399,0.773989927446176
"prot-a-977","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Epiregulin || id:prot-a-977","Inverse variance weighted",2,-0.0794196089277559,0.10422176322875,0.446044970005169
"prot-a-866","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Desmocollin-2 || id:prot-a-866","Wald ratio",1,0.119856878184345,0.0927827698008337,0.196426056383037
"prot-a-870","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Desmoglein-2 || id:prot-a-870","Wald ratio",1,0.0335720213396562,0.0968642560758743,0.728900609843506
"prot-a-970","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Epiphycan || id:prot-a-970","Inverse variance weighted",3,-0.0222761530072583,0.0827343467115117,0.787737955566683
"prot-a-845","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","DnaJ homolog subfamily C member 17 || id:prot-a-845","Wald ratio",1,0.10488202247191,0.0567247191011236,0.0644628611121279
"prot-a-927","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Eukaryotic translation initiation factor 5A-1 || id:prot-a-927","Wald ratio",1,0.0856937704918033,0.0463468852459016,0.0644628611121279
"prot-a-962","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin type-B receptor 2 || id:prot-a-962","Wald ratio",1,-0.00895004921259842,0.0643700787401575,0.889418129775345
"prot-a-950","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleoside triphosphate diphosphohydrolase 1 || id:prot-a-950","Wald ratio",1,0.0654008833922261,0.0631017667844523,0.29999922139211
"prot-a-971","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endoplasmic reticulum aminopeptidase 1 || id:prot-a-971","Inverse variance weighted",3,-0.000109166399555316,0.0187228233221009,0.9953478335111
"prot-a-947","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 || id:prot-a-947","Inverse variance weighted",2,0.0319833344079781,0.04523214812214,0.47950869818441
"prot-a-875","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dual specificity protein phosphatase 16 || id:prot-a-875","Wald ratio",1,0.301308935788056,0.132650875617423,0.0231201588376391
"prot-a-908","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Epidermal growth factor || id:prot-a-908","Wald ratio",1,-0.062896006028636,0.0646130369253956,0.330341653155156
"prot-a-867","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Desmocollin-3 || id:prot-a-867","Inverse variance weighted",2,-0.110453628751912,0.0858603296485982,0.198291714248328
"prot-a-876","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dual specificity protein phosphatase 4 || id:prot-a-876","Wald ratio",1,0.0246904487917146,0.0936593785960875,0.792073046860778
"prot-a-883","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelin-converting enzyme 1 || id:prot-a-883","Inverse variance weighted",2,0.00902616395530966,0.0456832224511141,0.843372436003394
"prot-a-938","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","EMILIN-3 || id:prot-a-938","Wald ratio",1,0.032146754194019,0.0677883296863603,0.635341218407914
"prot-a-918","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Translation initiation factor eIF-2B subunit alpha || id:prot-a-918","Wald ratio",1,0.113472937771346,0.0613710564399421,0.0644628611121279
"prot-a-901","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ephrin-A5 || id:prot-a-901","Wald ratio",1,-0.135674989329919,0.160520273154076,0.397987864503644
"prot-a-954","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Ectonucleoside triphosphate diphosphohydrolase 6 || id:prot-a-954","Wald ratio",1,0.205301322599195,0.0984347326049454,0.037009489102154
"prot-a-873","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dual specificity protein phosphatase 13 isoform A || id:prot-a-873","Inverse variance weighted",3,0.00700626887766478,0.0793129513671639,0.929608825199273
"prot-a-989","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","S-formylglutathione hydrolase || id:prot-a-989","Inverse variance weighted",3,0.0212969992533453,0.0496982656222686,0.668268204277223
"prot-a-983","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","ERO1-like protein beta || id:prot-a-983","Inverse variance weighted",2,0.0282978327217893,0.0391148257821385,0.469400133190303
"prot-a-86","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Junctional adhesion molecule-like || id:prot-a-86","Wald ratio",1,0.0295881627620222,0.106964241676942,0.782073957612273
"prot-a-884","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endothelin-converting enzyme 1 || id:prot-a-884","Inverse variance weighted",2,0.0523703320285403,0.0528781645194953,0.321980512939768
"prot-a-949","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","AP-4 complex accessory subunit tepsin || id:prot-a-949","Wald ratio",1,-0.00904265510948905,0.0611200958029197,0.882383042385624
"prot-a-945","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Gamma-enolase || id:prot-a-945","Wald ratio",1,0.185103399433428,0.100111898016997,0.0644628611121279
"prot-a-92","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Angiopoietin-1 || id:prot-a-92","Wald ratio",1,-0.0476284856284856,0.0787970827970828,0.545547969419015
"prot-a-878","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Segment polarity protein dishevelled homolog DVL-2 || id:prot-a-878","Wald ratio",1,-0.0140850822461713,0.101585365853659,0.889724620302707
"prot-a-999","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Envoplakin || id:prot-a-999","Wald ratio",1,0.00944408740359897,0.118589331619537,0.936526042018959
"prot-a-857","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Dipeptidase 2 || id:prot-a-857","Inverse variance weighted",3,-0.0704880979937094,0.0438930277877325,0.108294458333094
"prot-a-872","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","E3 ubiquitin-protein ligase DTX3L || id:prot-a-872","Inverse variance weighted",2,0.0496564344394819,0.122028545600759,0.684063263221206
"prot-a-992","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Persulfide dioxygenase ETHE1, mitochondrial || id:prot-a-992","Inverse variance weighted",2,-0.112316691706626,0.0737901996641041,0.127981891169534
"prot-a-847","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Mitochondrial import inner membrane translocase subunit TIM14 || id:prot-a-847","Wald ratio",1,-0.168954916067146,0.100082014388489,0.0913796321877037
"prot-a-979","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Endoplasmic reticulum lectin 1 || id:prot-a-979","Wald ratio",1,0.144926300578035,0.0939137764932563,0.122785974728401
"prot-a-931","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","ETS domain-containing protein Elk-3 || id:prot-a-931","Wald ratio",1,0.0969458456973294,0.0524324925816024,0.0644628611121279
"prot-a-978","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Enhancer of rudimentary homolog || id:prot-a-978","Wald ratio",1,0.072304055473839,0.0438203404076487,0.098940631289449
"prot-a-893","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Early endosome antigen 1 || id:prot-a-893","Wald ratio",1,0.0791974753958066,0.076413350449294,0.29999922139211
"prot-a-937","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","EMI domain-containing protein 1 || id:prot-a-937","Inverse variance weighted",2,0.126106563808195,0.06543625792133,0.0539588840581094
