"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-925","ieu-b-40","body mass index || id:ieu-b-40","Eukaryotic translation initiation factor 4 gamma 3 || id:prot-a-925","Wald ratio",1,0.0265760197775031,0.0111248454882571,0.0168994124245017,"prot-a-925","Eukaryotic translation initiation factor 4 gamma 3"
"prot-a-882","ieu-b-40","body mass index || id:ieu-b-40","Dual specificity tyrosine-phosphorylation-regulated kinase 3 || id:prot-a-882","Wald ratio",1,-0.0291060291060291,0.0117810117810118,0.0134891037280277,"prot-a-882","Dual specificity tyrosine-phosphorylation-regulated kinase 3"
"prot-a-985","ieu-b-40","body mass index || id:ieu-b-40","Endoplasmic reticulum resident protein 44 || id:prot-a-985","Wald ratio",1,0.0264227642276423,0.00731707317073171,0.000304887997471077,"prot-a-985","Endoplasmic reticulum resident protein 44"
"prot-a-932","ieu-b-40","body mass index || id:ieu-b-40","RNA polymerase II elongation factor ELL || id:prot-a-932","Inverse variance weighted",2,0.0091980758761339,0.0253976487943253,0.717230603872274,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-939","ieu-b-40","body mass index || id:ieu-b-40","EMILIN-3 || id:prot-a-939","Inverse variance weighted",2,-0.000974926237946061,0.0195039877810506,0.960133548649576,"prot-a-939","EMILIN-3"
"prot-a-936","ieu-b-40","body mass index || id:ieu-b-40","ER membrane protein complex subunit 4 || id:prot-a-936","Inverse variance weighted",2,0.00781622733977199,0.0212133224620581,0.712531441466854,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-854","ieu-b-40","body mass index || id:ieu-b-40","Dedicator of cytokinesis protein 9 || id:prot-a-854","Wald ratio",1,0.0488215488215488,0.0063973063973064,2.31895760292491e-14,"prot-a-854","Dedicator of cytokinesis protein 9"
"prot-a-887","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member 27 || id:prot-a-887","Wald ratio",1,-0.0403326403326403,0.0116424116424116,0.000531641517638427,"prot-a-887","Tumor necrosis factor receptor superfamily member 27"
"prot-a-986","ieu-b-40","body mass index || id:ieu-b-40","Endogenous retrovirus group V member 1 Env polyprotein || id:prot-a-986","Wald ratio",1,0.0208016235413496,0.0091324200913242,0.0227398209763687,"prot-a-986","Endogenous retrovirus group V member 1 Env polyprotein"
"prot-a-980","ieu-b-40","body mass index || id:ieu-b-40","Erlin-1 || id:prot-a-980","Wald ratio",1,0.0221307256819352,0.00926402470406588,0.0168994124245017,"prot-a-980","Erlin-1"
"prot-a-96","ieu-b-40","body mass index || id:ieu-b-40","Angiopoietin-related protein 1 || id:prot-a-96","Wald ratio",1,-0.00766550522648084,0.00418118466898955,0.0667530151696345,"prot-a-96","Angiopoietin-related protein 1"
"prot-a-961","ieu-b-40","body mass index || id:ieu-b-40","Ephrin type-B receptor 2 || id:prot-a-961","Wald ratio",1,-0.001796798431885,0.00490035935968638,0.713867673474997,"prot-a-961","Ephrin type-B receptor 2"
"prot-a-943","ieu-b-40","body mass index || id:ieu-b-40","Endoglin || id:prot-a-943","Wald ratio",1,-0.019831223628692,0.00970464135021097,0.0410051172246418,"prot-a-943","Endoglin"
"prot-a-907","ieu-b-40","body mass index || id:ieu-b-40","Ephrin-B3 || id:prot-a-907","Wald ratio",1,0.0139113555483662,0.0058233581365254,0.0168994124245017,"prot-a-907","Ephrin-B3"
"prot-a-842","ieu-b-40","body mass index || id:ieu-b-40","DnaJ homolog subfamily B member 9 || id:prot-a-842","Wald ratio",1,0.0131057604388906,0.0054861322767449,0.0168994124245017,"prot-a-842","DnaJ homolog subfamily B member 9"
"prot-a-994","ieu-b-40","body mass index || id:ieu-b-40","Protein C-ets-2 || id:prot-a-994","Wald ratio",1,-0.0054054054054054,0.0103603603603604,0.601851975770549,"prot-a-994","Protein C-ets-2"
"prot-a-903","ieu-b-40","body mass index || id:ieu-b-40","Ephrin-B1 || id:prot-a-903","Wald ratio",1,0.025749063670412,0.00795880149812734,0.00121517485941101,"prot-a-903","Ephrin-B1"
"prot-a-99","ieu-b-40","body mass index || id:ieu-b-40","Angiopoietin-related protein 4 || id:prot-a-99","Inverse variance weighted",2,-0.0265804045140351,0.0126358185845292,0.0354154506997263,"prot-a-99","Angiopoietin-related protein 4"
"prot-a-885","ieu-b-40","body mass index || id:ieu-b-40","Ectodysplasin-A, secreted form || id:prot-a-885","Wald ratio",1,-0.0297096556380824,0.0114787305874409,0.00964690599063413,"prot-a-885","Ectodysplasin-A, secreted form"
"prot-a-879","ieu-b-40","body mass index || id:ieu-b-40","Dynactin-associated protein || id:prot-a-879","Wald ratio",1,-0.0333535476046089,0.0103092783505155,0.00121517485941101,"prot-a-879","Dynactin-associated protein"
"prot-a-87","ieu-b-40","body mass index || id:ieu-b-40","Amphoterin-induced protein 1 || id:prot-a-87","Wald ratio",1,0.0219236209335219,0.012022630834512,0.0682232466455102,"prot-a-87","Amphoterin-induced protein 1"
"prot-a-990","ieu-b-40","body mass index || id:ieu-b-40","Endothelial cell-specific molecule 1 || id:prot-a-990","Wald ratio",1,-0.00446428571428571,0.0108418367346939,0.680511892901687,"prot-a-990","Endothelial cell-specific molecule 1"
"prot-a-940","ieu-b-40","body mass index || id:ieu-b-40","EMILIN-3 || id:prot-a-940","Wald ratio",1,-0.0262035344302255,0.0109689213893967,0.0168994124245017,"prot-a-940","EMILIN-3"
"prot-a-860","ieu-b-40","body mass index || id:ieu-b-40","Dipeptidyl peptidase 2 || id:prot-a-860","Wald ratio",1,-0.00357044767920901,0.00576764625102994,0.535884989067038,"prot-a-860","Dipeptidyl peptidase 2"
"prot-a-865","ieu-b-40","body mass index || id:ieu-b-40","Dorsal root ganglia homeobox protein || id:prot-a-865","Inverse variance weighted",2,-0.00302632403009235,0.00289972532534189,0.296643249684174,"prot-a-865","Dorsal root ganglia homeobox protein"
"prot-a-953","ieu-b-40","body mass index || id:ieu-b-40","Ectonucleoside triphosphate diphosphohydrolase 5 || id:prot-a-953","Inverse variance weighted",2,-0.00826908377097134,0.00539074324271882,0.12504409107347,"prot-a-953","Ectonucleoside triphosphate diphosphohydrolase 5"
"prot-a-948","ieu-b-40","body mass index || id:ieu-b-40","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 || id:prot-a-948","Wald ratio",1,0.00152021891152326,0.0019256106212628,0.429835204622545,"prot-a-948","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7"
"prot-a-987","ieu-b-40","body mass index || id:ieu-b-40","Endothelial cell-selective adhesion molecule || id:prot-a-987","Inverse variance weighted",2,-0.00700813468879753,0.00960578489558245,0.465650379067777,"prot-a-987","Endothelial cell-selective adhesion molecule"
"prot-a-888","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","MR Egger",4,0.00227141888854588,0.0103778232425988,0.847054730987013,"prot-a-888","Tumor necrosis factor receptor superfamily member EDAR"
"prot-a-888","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","Weighted median",4,-0.00167069557765686,0.00433174772519531,0.699729040234245,"prot-a-888","Tumor necrosis factor receptor superfamily member EDAR"
"prot-a-888","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","Inverse variance weighted",4,-0.00549121609200753,0.00681208618741537,0.420185748808248,"prot-a-888","Tumor necrosis factor receptor superfamily member EDAR"
"prot-a-888","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","Simple mode",4,0.000936006285245042,0.0112349568284375,0.938851210900177,"prot-a-888","Tumor necrosis factor receptor superfamily member EDAR"
"prot-a-888","ieu-b-40","body mass index || id:ieu-b-40","Tumor necrosis factor receptor superfamily member EDAR || id:prot-a-888","Weighted mode",4,0.000431402868944696,0.0120651780560416,0.973723021410947,"prot-a-888","Tumor necrosis factor receptor superfamily member EDAR"
"prot-a-995","ieu-b-40","body mass index || id:ieu-b-40","Protein eva-1 homolog C || id:prot-a-995","Inverse variance weighted",2,0.0109178842780095,0.00604765605609232,0.0710264359203458,"prot-a-995","Protein eva-1 homolog C"
"prot-a-988","ieu-b-40","body mass index || id:ieu-b-40","Endothelial cell-selective adhesion molecule || id:prot-a-988","Inverse variance weighted",2,-0.00775593859318156,0.00952037811332014,0.415262904592096,"prot-a-988","Endothelial cell-selective adhesion molecule"
"prot-a-952","ieu-b-40","body mass index || id:ieu-b-40","Ectonucleoside triphosphate diphosphohydrolase 3 || id:prot-a-952","Wald ratio",1,-0.028809218950064,0.0115236875800256,0.0124193306515523,"prot-a-952","Ectonucleoside triphosphate diphosphohydrolase 3"
"prot-a-866","ieu-b-40","body mass index || id:ieu-b-40","Desmocollin-2 || id:prot-a-866","Wald ratio",1,0.00416859657248726,0.00972672533580361,0.66823514179525,"prot-a-866","Desmocollin-2"
"prot-a-870","ieu-b-40","body mass index || id:ieu-b-40","Desmoglein-2 || id:prot-a-870","Inverse variance weighted",2,0.00745104796629102,0.00621940232548301,0.230904249049219,"prot-a-870","Desmoglein-2"
"prot-a-962","ieu-b-40","body mass index || id:ieu-b-40","Ephrin type-B receptor 2 || id:prot-a-962","Wald ratio",1,-0.00270669291338583,0.00738188976377953,0.713867673474997,"prot-a-962","Ephrin type-B receptor 2"
"prot-a-915","ieu-b-40","body mass index || id:ieu-b-40","EP300-interacting inhibitor of differentiation 3 || id:prot-a-915","Wald ratio",1,0.0236760124610592,0.011214953271028,0.0347627626222285,"prot-a-915","EP300-interacting inhibitor of differentiation 3"
"prot-a-970","ieu-b-40","body mass index || id:ieu-b-40","Epiphycan || id:prot-a-970","Wald ratio",1,-0.0175953079178886,0.0102639296187683,0.0864762654936656,"prot-a-970","Epiphycan"
"prot-a-977","ieu-b-40","body mass index || id:ieu-b-40","Epiregulin || id:prot-a-977","Wald ratio",1,0.00904392764857881,0.0109819121447028,0.410206998692259,"prot-a-977","Epiregulin"
