"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-925","R12_amyloidosis","R12_E4_AMYLNAS","Eukaryotic translation initiation factor 4 gamma 3 || id:prot-a-925","Wald ratio",1,-0.0411246600741656,0.374975278121137,0.912668721717789,"prot-a-925","Eukaryotic translation initiation factor 4 gamma 3"
"prot-a-882","R12_amyloidosis","R12_E4_AMYLNAS","Dual specificity tyrosine-phosphorylation-regulated kinase 3 || id:prot-a-882","Wald ratio",1,0.166853776853777,0.416751212751213,0.688885618364466,"prot-a-882","Dual specificity tyrosine-phosphorylation-regulated kinase 3"
"prot-a-985","R12_amyloidosis","R12_E4_AMYLNAS","Endoplasmic reticulum resident protein 44 || id:prot-a-985","Wald ratio",1,-0.202388617886179,0.294110162601626,0.491365371402064,"prot-a-985","Endoplasmic reticulum resident protein 44"
"prot-a-932","R12_amyloidosis","R12_E4_AMYLNAS","RNA polymerase II elongation factor ELL || id:prot-a-932","MR Egger",3,0.0130794836164844,0.460928638041074,0.981939885379089,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-932","R12_amyloidosis","R12_E4_AMYLNAS","RNA polymerase II elongation factor ELL || id:prot-a-932","Weighted median",3,0.0840086920581877,0.227605382378139,0.712054677564353,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-932","R12_amyloidosis","R12_E4_AMYLNAS","RNA polymerase II elongation factor ELL || id:prot-a-932","Inverse variance weighted",3,0.130492028111262,0.194985661013956,0.503342968567456,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-932","R12_amyloidosis","R12_E4_AMYLNAS","RNA polymerase II elongation factor ELL || id:prot-a-932","Simple mode",3,0.0659776765935746,0.245053994525919,0.812979530331701,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-932","R12_amyloidosis","R12_E4_AMYLNAS","RNA polymerase II elongation factor ELL || id:prot-a-932","Weighted mode",3,0.0581922204395586,0.281342054847444,0.855283094233065,"prot-a-932","RNA polymerase II elongation factor ELL"
"prot-a-939","R12_amyloidosis","R12_E4_AMYLNAS","EMILIN-3 || id:prot-a-939","Wald ratio",1,0.222387923904053,0.370711331679074,0.548576125720938,"prot-a-939","EMILIN-3"
"prot-a-922","R12_amyloidosis","R12_E4_AMYLNAS","Eukaryotic translation initiation factor 4B || id:prot-a-922","Wald ratio",1,-0.337429633563463,0.203742166755178,0.0976894146696292,"prot-a-922","Eukaryotic translation initiation factor 4B"
"prot-a-958","R12_amyloidosis","R12_E4_AMYLNAS","Ephrin type-A receptor 5 || id:prot-a-958","Wald ratio",1,-0.519101307189543,0.313436683006536,0.0976894146696292,"prot-a-958","Ephrin type-A receptor 5"
"prot-a-936","R12_amyloidosis","R12_E4_AMYLNAS","ER membrane protein complex subunit 4 || id:prot-a-936","MR Egger",4,-0.622067944250452,0.360152165457916,0.226266709389558,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-936","R12_amyloidosis","R12_E4_AMYLNAS","ER membrane protein complex subunit 4 || id:prot-a-936","Weighted median",4,0.0322295351031995,0.101820728970229,0.751598620150585,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-936","R12_amyloidosis","R12_E4_AMYLNAS","ER membrane protein complex subunit 4 || id:prot-a-936","Inverse variance weighted",4,0.0455779764893696,0.123312211887196,0.711669776157426,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-936","R12_amyloidosis","R12_E4_AMYLNAS","ER membrane protein complex subunit 4 || id:prot-a-936","Simple mode",4,0.459746388717624,0.533074683908485,0.451873173936372,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-936","R12_amyloidosis","R12_E4_AMYLNAS","ER membrane protein complex subunit 4 || id:prot-a-936","Weighted mode",4,-0.0300016608999116,0.541411106662232,0.959292779638352,"prot-a-936","ER membrane protein complex subunit 4"
"prot-a-854","R12_amyloidosis","R12_E4_AMYLNAS","Dedicator of cytokinesis protein 9 || id:prot-a-854","Wald ratio",1,0.33893265993266,0.206879124579125,0.101356517262761,"prot-a-854","Dedicator of cytokinesis protein 9"
"prot-a-905","R12_amyloidosis","R12_E4_AMYLNAS","Ephrin-B2 || id:prot-a-905","Wald ratio",1,0.576600730371272,0.502270237370663,0.250973086107897,"prot-a-905","Ephrin-B2"
"prot-a-887","R12_amyloidosis","R12_E4_AMYLNAS","Tumor necrosis factor receptor superfamily member 27 || id:prot-a-887","Wald ratio",1,0.11407817047817,0.428927234927235,0.790268788709845,"prot-a-887","Tumor necrosis factor receptor superfamily member 27"
"prot-a-986","R12_amyloidosis","R12_E4_AMYLNAS","Endogenous retrovirus group V member 1 Env polyprotein || id:prot-a-986","Wald ratio",1,0.0504904109589041,0.3071633688483,0.869434835357383,"prot-a-986","Endogenous retrovirus group V member 1 Env polyprotein"
"prot-a-980","R12_amyloidosis","R12_E4_AMYLNAS","Erlin-1 || id:prot-a-980","Wald ratio",1,-0.0342458569222851,0.312254246011323,0.912668721717789,"prot-a-980","Erlin-1"
"prot-a-997","R12_amyloidosis","R12_E4_AMYLNAS","Protein EVI2B || id:prot-a-997","MR Egger",3,0.174452855096417,0.35020085564917,0.705775223748817,"prot-a-997","Protein EVI2B"
"prot-a-997","R12_amyloidosis","R12_E4_AMYLNAS","Protein EVI2B || id:prot-a-997","Weighted median",3,0.0704747099587223,0.143999593501086,0.624552102167969,"prot-a-997","Protein EVI2B"
"prot-a-997","R12_amyloidosis","R12_E4_AMYLNAS","Protein EVI2B || id:prot-a-997","Inverse variance weighted",3,0.0691997489482292,0.144492318291158,0.631998063785119,"prot-a-997","Protein EVI2B"
"prot-a-997","R12_amyloidosis","R12_E4_AMYLNAS","Protein EVI2B || id:prot-a-997","Simple mode",3,0.101614089208268,0.213770457348278,0.681397974158142,"prot-a-997","Protein EVI2B"
"prot-a-997","R12_amyloidosis","R12_E4_AMYLNAS","Protein EVI2B || id:prot-a-997","Weighted mode",3,0.0753007737309828,0.310048695358971,0.830744427851047,"prot-a-997","Protein EVI2B"
"prot-a-96","R12_amyloidosis","R12_E4_AMYLNAS","Angiopoietin-related protein 1 || id:prot-a-96","Inverse variance weighted",2,0.286595309134522,0.140241495168611,0.040994637647427,"prot-a-96","Angiopoietin-related protein 1"
"prot-a-996","R12_amyloidosis","R12_E4_AMYLNAS","Protein eva-1 homolog C || id:prot-a-996","Wald ratio",1,-0.20728125,0.36480078125,0.569896480095738,"prot-a-996","Protein eva-1 homolog C"
"prot-a-961","R12_amyloidosis","R12_E4_AMYLNAS","Ephrin type-B receptor 2 || id:prot-a-961","Wald ratio",1,0.0189645540672983,0.140831917673963,0.892879981602565,"prot-a-961","Ephrin type-B receptor 2"
"prot-a-943","R12_amyloidosis","R12_E4_AMYLNAS","Endoglin || id:prot-a-943","Wald ratio",1,-0.194579324894515,0.314375949367089,0.535956986788409,"prot-a-943","Endoglin"
"prot-a-930","R12_amyloidosis","R12_E4_AMYLNAS","ETS domain-containing protein Elk-1 || id:prot-a-930","Wald ratio",1,-0.196434615384615,0.180781971153846,0.277221144299407,"prot-a-930","ETS domain-containing protein Elk-1"
